id,name,scientific_name,light_needs,water_needs,type,stock
15,Christmas Cactus,Schlumbergera bridgessii,Medium,Low,Cactus,11
34,Bunny Ears Cactus,Opuntia microdasys,High,Low,Cactus,12
42,Blue Myrtle Cactus,Myrtillocactus geometrizans,High,Low,Cactus,0
2,Peace Lily,Spathiphyllum ,Low,Low,Easy Care,10
19,ZZ Plant,Zamioculcas ,Low,Low,Easy Care,6
28,Snake Plant,Dracaena trifasciata,Low,Low,Easy Care,8
16,Boston Fern,Nephrolepis exaltata,Medium,High,Fern,12
17,Asparagus Fern,Asparagus setaceus,Medium,High,Fern,0
37,Bird's Nest Fern,Asplenium nidus,Medium,Medium,Fern,15
38,Maidenhair Fern,Adiantum raddianum,Medium,High,Fern,2
9,African Violet,Streptocarpus sect.,High,High,Flowering,9
11,Orchid,Orchidaceae ,High,Low,Flowering,16
32,Flaming Katy,Kalanchoe blossfeldiana,High,Medium,Flowering,3
41,Bird of Paradise,Strelitzia reginae,High,Low,Flowering,1
44,Jasmine,Jasminum,Medium,High,Flowering,11
1,Prayer Plant,Maranta leuconeura,Medium,Medium,Foliage,8
4,Golden Pothos,Epipremnum aureum,High,Low,Foliage,7
14,China Doll Plant,Radermachera sinica,High,Medium,Foliage,7
20,Coffee Plant,Coffea ,Medium,High,Foliage,0
23,Croton,Codiaeum variegatum,High,Low,Foliage,4
18,Boat Lily,Tradescantia spathacea,High,Medium,Hanging,15
21,English Ivy,Hedera helix,Medium,High,Hanging,4
22,String of Pearls,Senecio rowleyanus,High,Low,Hanging,12
39,Spider Plant,Chlorophytum comosum,Medium,Medium,Hanging,17
7,Swiss Cheese Plant,Monstera Deliciosa,Medium,Medium,Large,5
10,Rubber Plant,Ficus elastica,High,Low,Large,18
36,Fiddle Leaf Fig,Ficus lyrata,Medium,Medium,Large,1
40,Hertleaf Philodendron,Philodendron bipinnatifidum,Medium,Medium,Large,14
45,Elephant Ears Plant,Alocasia,Medium,High,Large,5
8,Aloe Vera,Aloe Vera,High,Low,Succulent,0
24,Jade Plant,Crassula ovata,High,Low,Succulent,7
25,Gollum Jade,Crassula ovata 'Gollum',High,Low,Succulent,13
6,Umbrella Plant,Cyperus alternifolius,Medium,Low,Tree,17
26,Dragon Tree,Dracaena draco,Medium,Medium,Tree,10
29,Weeping Fig,Ficus benjamina,Medium,Medium,Tree,3
30,Autograph Tree,Clusia rosea,Medium,Medium,Tree,5
13,Nerve Plant,Fittonia ,Medium,Medium,Unusual,3
3,Chinese Money Plant,Pilea peperomioides,High,Low,Unusual,3
5,False Shamrock,Oxalis Triangularis,Medium,Medium,Unusual,3
35,Copperleaf Plant,Acalypha wilkesiana,High,High,Unusual,11
